,GSM175786,GSM175787,GSM175788,GSM176082,GSM176083,GSM176084,GSM176085,GSM176086,GSM176087,GSM176088,GSM176089,GSM176090,GSM176091,GSM176092,GSM176234,GSM176236,GSM176238,GSM176240,GSM176039,GSM176040,GSM176041,GSM176043,GSM176093,GSM176094,GSM176095,GSM176096,GSM176097,GSM176098,GSM176099,GSM176100,GSM176101,GSM176127,GSM176132,GSM176137,GSM176141,GSM176142,GSM176143,GSM176144,GSM176145,GSM176146,GSM176319
IGKC,26.039047,98.14088,63.482502,4209.7153,76.08753,192.22382,32.418808,2560.998,182.54404,60.302963,105.778625,60.493916,86.943214,9.395658,17.313723,25.351131,40.523422,116.6707,27.409721,1.7218555,1.6273966,5.0351768,6.383376,2.9670782,1.6554197,1.2862928,4.399297,3.3132513,2.1814258,1.0014701,11.861225,2.002334,2.6402318,1.4472978,2.2821658,3.126018,2.4569032,4.248362,1.7129022,9.670465,47.397808
PDGFRA,96.53246,97.67644,79.32967,66.90225,83.57101,45.601833,67.69379,56.08356,94.318565,93.080185,71.04142,54.549572,58.871655,53.453842,340.97134,66.42599,77.27995,65.08364,45.703743,21.545506,37.998528,49.4447,33.381454,34.23914,23.823296,80.24653,30.137163,63.306637,25.455975,15.495562,27.79486,33.531425,1.2274839,30.504395,72.84486,47.35117,17.554499,39.069996,15.500342,25.57645,67.105965
IGLV1-44,151.63484,169.89944,191.0548,921.16675,216.28812,1049.7517,135.51645,8398.919,4222.9688,441.3504,260.7569,494.05887,390.2264,253.74648,117.56358,416.55475,141.05531,439.86237,168.78796,39.102066,31.280464,157.06313,44.341106,33.210674,53.303402,22.327496,35.67786,46.62107,28.824917,16.088268,54.538837,17.79793,32.950653,15.322956,58.095577,98.33051,62.058773,24.043692,12.743067,31.591162,216.12619
THBS1,115.20809,204.12589,115.13572,213.75085,74.83961,54.85719,121.83194,93.907166,122.944115,69.90855,61.431053,57.077538,60.6334,98.3742,350.49637,206.02644,403.1891,264.34146,137.97685,23.335192,104.663666,17.611172,61.526367,113.38216,26.981192,26.117685,41.537872,21.511503,20.181347,5.903283,12.018117,14.836668,28.13063,14.527267,45.734745,55.508373,30.394596,48.630527,13.14777,29.810785,46.797745
PTGDR,13.607792,40.03645,56.646828,53.04753,98.92205,33.61152,71.66727,52.859715,86.22685,39.37025,36.665367,28.863766,115.54008,7.4077573,21.729156,52.49779,20.900833,15.486533,24.623693,15.616667,11.908572,14.745857,7.4518867,2.426321,12.080699,12.4986315,4.0866795,20.732445,22.999722,9.0061035,9.696427,7.1877384,26.738739,11.2834015,10.34181,14.012002,17.170961,19.104399,16.681097,24.155993,9.704969
TRDV3,1.3826855,6.8636603,10.019394,36.026966,13.217869,8.851004,10.873079,17.979673,32.893806,10.44676,15.538213,9.51359,14.781341,9.964504,6.4288974,8.5352545,18.71733,16.773085,70.45911,9.030659,25.776255,177.22455,89.13551,25.898539,44.845757,215.99734,37.204967,196.74614,49.119846,58.78339,113.702034,8.541563,11.031646,28.660515,72.95979,56.540398,13.5404215,13.610245,20.558868,9.265141,29.30823
CCL2,77.18324,92.350204,105.51399,429.99896,167.4398,48.18817,38.25828,267.18985,124.75852,101.83779,113.39232,110.69419,209.15584,171.11302,44.343117,304.07513,39.962593,227.69072,24.48333,12.287836,8.461967,38.677296,3.8179226,48.896194,18.100386,84.09063,16.995237,25.957405,23.18588,1.9753385,33.586124,14.08859,3.6903026,10.741935,105.26373,49.31278,205.83472,121.27175,72.957344,108.90675,26.797546
IGLJ3,8.324796,31.693186,9.983657,27.882608,15.191901,48.32736,12.513849,123.26066,29.731735,31.206503,14.666323,16.604012,14.747664,20.02665,9.294424,11.146585,15.869725,1.3562468,4.6894984,10.558694,8.921318,1.3237176,2.096847,3.8334768,3.6283848,2.241727,10.1356945,4.130042,0.95742005,3.7751522,4.103559,2.4211555,13.598167,1.5543574,1.7342345,18.958183,8.016973,9.566561,0.9147595,9.08401,4.0183835
NR4A3,15.921323,18.678646,15.790246,43.303192,665.36163,375.68826,103.64422,40.651283,43.18631,243.50449,320.63644,261.06223,445.2796,45.771675,21.866999,42.041634,48.31776,26.535131,94.09434,10.281272,20.466986,17.243326,24.414816,68.770775,16.879688,22.506626,36.717754,25.06601,25.973354,1.8959785,24.568789,12.752558,13.803729,8.936327,25.277422,41.787586,36.490868,18.331524,12.414274,16.705706,15.15935
C3,1704.4792,4350.774,6628.66,8459.541,4731.778,3807.6194,5027.7456,7072.0396,9481.654,3799.9487,6542.946,6589.189,8038.68,3849.5513,1352.3904,3267.4646,2865.2305,2802.47,156.34068,319.54788,61.48452,763.9413,174.40764,257.16364,316.5584,1897.8365,40.301746,121.22172,567.45026,157.44481,140.18483,35.51449,93.29536,71.34582,1024.2911,232.44243,1735.6613,160.02406,144.82178,968.5532,70.45085
